Name,Level,T1,T2,T3,T4,T5,T6,T7,T8,T9,Other info (Do not edit),6,26,12,10,4
A,Beginner,1,3,2,1,3,2,,,,,TimeSlots,Players,Beginners,Intermediate,Advanced
B,Beginner,3,0,2,0,1,0,,,,,,,,,
C,Beginner,1,0,3,1,3,2,,,,,,,,,
D,Beginner,1,0,2,0,2,0,,,,,,,,,
E,Beginner,0,2,1,2,1,0,,,,,,,,,
F,Beginner,1,3,3,0,1,1,,,,,,,,,
G,Intermediate,0,1,2,1,2,1,,,,,,,,,
H,Intermediate,3,3,2,3,2,3,,,,THINGS YOU CAN CHANGE,,,,,
I,Intermediate,3,1,3,0,1,2,,,,Timeslot names,,,,,
J,Intermediate,3,0,1,3,1,2,,,,"People's levels (leave it Beginner, Intermediate, Advanced)",,,,,
K,Intermediate,3,3,0,1,3,3,,,,People's Names,,,,,
L,Intermediate,3,2,0,1,3,2,,,,People's preference,,3 = High,,,
M,Intermediate,2,0,1,2,0,3,,,,,,2= Normal,,,
N,Intermediate,2,0,3,1,0,1,,,,,,1 = Low,,,
O,Advanced,1,2,0,3,2,2,,,,,,0 = Unavailable,,,
P,Advanced,2,0,2,3,2,2,,,,,,,,,
Q,Advanced,3,2,0,2,3,0,,,,"If a timeslot is not being used, leave it blank (all elements)",,,,,
R,Advanced,0,1,2,2,0,3,,,,"If a timeslot is being used, fill it with data for everyone",,,,,
S,Beginner,1,3,1,3,1,2,,,,,,,,,
T,Beginner,1,2,2,3,3,3,,,,NOTE,,,,,
U,Beginner,0,1,0,3,2,3,,,,"When editing data, make sure you are editing it as a .xlsx file",,,,,
V,Beginner,0,1,3,1,3,1,,,,Only save as .csv when you are ready to run the program,,,,,
W,Beginner,3,3,3,3,3,0,,,,,,,,,
X,Beginner,2,3,0,3,2,1,,,,,,,,,
Y,Intermediate,1,1,2,2,3,2,,,,,,,,,
Z,Intermediate,3,0,2,2,1,2,,,,,,,,,
