Name,Level,T1,T2,T3,T4,T5,T6,T7,T8,T9
1,Beginner,2,2,2,3,2,2,,,
2,Beginner,1,3,3,3,3,0,,,
3,Beginner,3,3,0,2,2,3,,,
4,Beginner,0,0,0,1,0,0,,,
5,Beginner,3,2,1,0,1,2,,,
6,Beginner,2,1,2,0,2,1,,,
7,Intermediate,3,3,0,1,0,0,,,
8,Intermediate,1,0,2,3,1,2,,,
9,Intermediate,1,0,1,3,1,3,,,
10,Intermediate,2,1,3,1,3,1,,,
11,Intermediate,0,3,3,1,2,2,,,
12,Intermediate,3,2,3,1,1,3,,,
13,Intermediate,0,0,3,0,1,2,,,
14,Intermediate,3,3,2,0,3,1,,,
15,Advanced,0,0,2,0,3,2,,,
16,Advanced,0,2,3,1,2,2,,,
17,Advanced,2,3,1,3,0,2,,,
18,Advanced,1,1,1,0,3,1,,,
19,Beginner,1,1,0,0,2,2,,,
20,Beginner,3,1,0,3,2,0,,,
21,Beginner,3,2,3,2,0,3,,,
22,Beginner,3,1,3,0,0,0,,,
23,Beginner,3,1,0,1,1,1,,,
24,Beginner,0,1,1,0,0,0,,,
25,Intermediate,1,3,0,0,1,0,,,
26,Intermediate,0,0,1,0,2,2,,,
27,Intermediate,0,2,1,2,1,3,,,
28,Intermediate,0,0,2,3,1,0,,,
29,Intermediate,2,3,1,2,3,3,,,
30,Intermediate,0,1,2,0,3,2,,,
,,,,,,,,,,
,,,,,,,,,Other info (Do not edit),
,,,,,,,,,TimeSlots,6
,,,,,,,,,Players,30
,,,,,,,,,Beginners,12
,,,,,,,,,Intermediate,14
,,,,,,,,,Advanced,4
